Text;finals;last_word
Чорним шовком, китайкою;ою;кита^йкою
Личенько накрито.;то;накри^то
Ой прийшла дівчина;на;дівчи^на
Та й заголосила,;ла;заголоси^ла
Ой прийшла другая,;ая;друга^я
Та вже й ни такая.;ая;така^я
Ой прийшла другая,;ая;друга^я
Та вже й ни такая,;ая;така^я
Та й підняла китаєчку;ку;кита^єчку
Та й поцілувала.;ла;поцілува^ла
– Ой устань, козаче,;че;коза^че
Устань, молоденький,;ий;молоде^нький
Ходить-блудить по діброві;ві;дібро^ві
Твій кінь вороненький.;ий;вороне^нький
– Ой нехай він ходить,;ть;хо^дить
Ой нехай він блудить,;ть;блу^дить
|: Прийде тая годиночка,;ка;годи^ночка
Що він мене збудить. :|; |;збу^дить
ОЙ У МІСТІ РУСАЛИМІ;мі;русали^мі
Ой у місті Русалимі;мі;русали^мі
Сталася новина:;на;нови^на
Зчарувала Ганнусина;на;ганнуси^на
Вдовиного сина.;на;си^на
А як мала зчарувати, –;и ;зчарува^ти
Кликала до хати,;ти;ха^ти
Каже мені, молодому,;му;молодо^му
На лавку сідати.;ти;сіда^ти
Ой не встиг я, молоденький,;ий;молоде^нький
На лавочку сісти,;ти;сі^сти
Дає мені Ганнусина;на;ганнуси^на
Три яблуці ззісти.;ти;ззі^сти
Ой як ззів я три яблуці, –;і ;я^блуці
Серце заболіло,;ло;заболі^ло
А як взнала моя мати, –;и ;ма^ти
З жалю обімліла.;ла;обімлі^ла
– Дайте мені, товариші,;ші;това^риші
Пухову подушку,;ку;поду^шку
Зазвіт, зазвіт та до мене;не;ме^не
Ганнусину-душку.;ку;ганнусинуду^шку
Ой як прийшла Ганнусина,;на;ганнуси^на
Стала на порозі,;зі;поро^зі
Обілляли Ганнусину;ну;ганнуси^ну
Дрібненькії сльози.;зи;сльо^зи
– Не плач, не плач, Ганнусино,;но;ганнуси^но
Нема чо’ плакати,;ти;плака^ти
Зчарувала-с мого сина;на;си^на
Та ще й твоя мати.;ти;ма^ти
– Не я їго зчарувала,;ла;зчарува^ла
А ні моя мати –;и ;ма^ти
Зчарувала сусідочка;ка;сусі^дочка
Із третьої хати.;ти;ха^ти
– Ой є в мене черешенька –;а ;череше^нька
Верха не дістану:;ну;діста^ну
Ой хто ж тебе любить буде,;де;бу^де
Як я перестану?;ну;переста^ну
– Ой є в мене черешенька;ка;череше^нька
Верхом зелененька.;ка;зелене^нька
Як ти станеш – буде другий,;ий;дру^гий
Я ще молоденька.;ка;молоде^нька
ХОДИТЬ ІВАН ПОНАД ДУНАЙ;ай;дуна^й
Ходить Іван понад Дунай,;ай;дуна^й
"В сопілочку грає;";ає;гра^є
Парасина бере воду,;ду;во^ду
На Йвана моргає:;ає;морга^є
– Прийди, Йване, Іваночку,;ку;івано^чку
Прийди, моє серце,;це;се^рце
Нап’ємося горілочки;ки;горі^лочки
Хорошої з перцем.;ем;пе^рцем
Прийшов Іван до Парасі;сі;пара^сі
Та й став на порозі,;зі;поро^зі
Дала йому чар із’їсти;ти;ізї^сти
В пшеничнім пирозі.;зі;пиро^зі
В їднім розі а в пирозі;зі;пиро^зі
Зеленая рута,;та;ру^та
В другім розі а в пирозі;зі;пиро^зі
Гадинонька люта.;та;лю^та
Прийшов Іван додомоньку,;ку;додомо^ньку
Схилив головоньку,;ку;голово^ньку
Його мати питається:;ся;питає^ться
– Де ходив, синоньку?;ку;сино^ньку
– У Парасі, моя мамцю,;цю;ма^мцю
В парасиній хаті;ті;ха^ті
Зчарувала мене, мамцю,;цю;ма^мцю
Що треба вмирати.;ти;вмира^ти
Йому каже його мати:;ти;ма^ти
– Йди, сину, орати.;ти;ора^ти
– Ой не піду, моя мамцю,;цю;ма^мцю
Бо треба вмирати.;ти;вмира^ти
Йому каже його мати:;ти;ма^ти
– Йди, сину, косити.;ти;коси^ти
– Ой не піду, моя мамцю,;цю;ма^мцю
Бо не буду жити.;ти;жи^ти
Закличте ми, моя мамцю,;цю;ма^мцю
А хлопців молодців,;ів;моло^дців
Закличте ми, моя мамцю,;цю;ма^мцю
А хлопців молодців.;ів;моло^дців
Прийшли хлопці а молодці,;ці;моло^дці
Шапки поздіймали:;ли;поздійма^ли
– Ой чого ж ти потребуєш,;єш;потребу^єш
А вдовин Іване?;не;іва^не
– Ой сідайте, хлопці-браття,;тя;хлопцібра^ття
Буду вам казати,;ти;каза^ти
– Котрий дівча вірно любить,;ть;лю^бить
Не ходіть до хати.;ти;ха^ти
Ой дайте ми, моя мамцю,;цю;ма^мцю
Білую подушку,;ку;поду^шку
Ой винесіть мене, хлопці-браття,;тя;хлопцібра^ття
Під зелену грушку.;ку;гру^шку
Закличте ми, моя мамцю,;цю;ма^мцю
Парасину душку.;ку;ду^шку
Прийшла тая Парасина,;на;параси^на
У порозі стала.;ла;ста^ла
