Number of line;Title;Text
334;;– Ой де ж тобі, мій синочку, 
335;;Лікарі шукати?
336;;
337;;– Не поможуть, мамцю,
338;;Ліки та й лікарки,
339;;Лиш поможе сажень землі
340;;І чотири дошки.
341;;Лиш поможе сажень землі
342;;І чотири дошки.
343;;
344;ОЙ НА ГОРІ ЯЧМІНЬ;Ой на горі ячмінь,
345;;А в долині жито,
346;;Прийшла звістка до дівчини,
347;;Що козака вбито.
348;;
349;;Ой убито, вбито,
350;;Закинуто в жито,
351;;Червоною китайкою
352;;Оченьки накрито. 
353;;
354;;А прийшла дівчина
355;;З чорними очима
356;;Та й підняла китаєчку,
357;;Та й заголосила.
358;;
359;;А прийшла другая,
360;;Та вже не такая,
361;;Підняла китаєчку
362;;Та й поцілувала.
363;;
364;;А прийшла третяя
365;;Та з нової хати:
366;;– Було тобі, козаченьку,
367;;Нас трьох не кохати.
368;;
369;;Нас трьох не кохати,
370;;Нас трьох не любити,
371;;Тепер будеш, козаченько,
372;;В серій землі гнити.
373;;
374;ОЙ НА ГОРІ ЖИТО;Ой на горі жито, (й)
375;;На долині жито,
376;;Під білою березою
377;;Лежить козак вбитий.
378;;
379;;Ой убито й вбито,
380;;Й затягнено в жито,
381;;Чорним шовком, китайкою
382;;Личенько накрито.
383;;
384;;Ой прийшла дівчина
385;;Та й заголосила,
386;;Ой прийшла другая,
387;;Та вже й ни такая.
388;;
389;;Ой прийшла другая,
390;;Та вже й ни такая,
391;;Та й підняла китаєчку
392;;Та й поцілувала.
393;;
394;;– Ой устань, козаче,
395;;Устань, молоденький,
396;;Ходить-блудить по діброві
397;;Твій кінь вороненький.
398;;
399;;– Ой нехай він ходить,
400;;Ой нехай він блудить,
401;;|: Прийде тая годиночка,
402;;Що він мене збудить. :|
403;;
404;ОЙ У МІСТІ РУСАЛИМІ;Ой у місті Русалимі
405;;Сталася новина:
406;;Зчарувала Ганнусина
407;;Вдовиного сина.
408;;
409;;А як мала зчарувати, –
410;;Кликала до хати,
411;;Каже мені, молодому,
412;;На лавку сідати.
413;;
414;;Ой не встиг я, молоденький,
415;;На лавочку сісти,
416;;Дає мені Ганнусина
417;;Три яблуці ззісти.
418;;
419;;Ой як ззів я три яблуці, –
420;;Серце заболіло,
421;;А як взнала моя мати, –
422;;З жалю обімліла.
423;;
424;;– Дайте мені, товариші,
425;;Пухову подушку,
426;;Зазвіт, зазвіт та до мене
427;;Ганнусину-душку.
428;;
429;;Ой як прийшла Ганнусина,
430;;Стала на порозі,
431;;Обілляли Ганнусину
432;;Дрібненькії сльози.
433;;
434;;– Не плач, не плач, Ганнусино,
435;;Нема чо’ плакати,
436;;Зчарувала-с мого сина
437;;Та ще й твоя мати.
438;;
439;;– Не я їго зчарувала,
440;;А ні моя мати –
441;;Зчарувала сусідочка
442;;Із третьої хати.
443;;
444;;– Ой є в мене черешенька –
445;;Верха не дістану:
446;;Ой хто ж тебе любить буде,
447;;Як я перестану?
448;;
449;;– Ой є в мене черешенька
450;;Верхом зелененька.
451;;Як ти станеш – буде другий,
452;;Я ще молоденька.
453;;
454;ХОДИТЬ ІВАН ПОНАД ДУНАЙ;Ходить Іван понад Дунай,
455;;"В сопілочку грає;"
456;;Парасина бере воду,
457;;На Йвана моргає:
458;;
459;;– Прийди, Йване, Іваночку,
460;;Прийди, моє серце,
461;;Нап’ємося горілочки
462;;Хорошої з перцем.
463;;
464;;Прийшов Іван до Парасі
465;;Та й став на порозі,
466;;Дала йому чар із’їсти
467;;В пшеничнім пирозі.
468;;
469;;В їднім розі а в пирозі
470;;Зеленая рута,
471;;В другім розі а в пирозі
472;;Гадинонька люта.
473;;
474;;Прийшов Іван додомоньку,
475;;Схилив головоньку,
476;;Його мати питається:
477;;– Де ходив, синоньку?
478;;
479;;– У Парасі, моя мамцю,
480;;В парасиній хаті
481;;Зчарувала мене, мамцю,
482;;Що треба вмирати.
483;;
484;;Йому каже його мати:
485;;– Йди, сину, орати.
486;;– Ой не піду, моя мамцю,
487;;Бо треба вмирати.
488;;
489;;Йому каже його мати:
490;;– Йди, сину, косити.
491;;– Ой не піду, моя мамцю,
492;;Бо не буду жити.
493;;
494;;Закличте ми, моя мамцю,
495;;А хлопців молодців,
496;;Закличте ми, моя мамцю,
497;;А хлопців молодців.
498;;
499;;Прийшли хлопці а молодці,
500;;Шапки поздіймали:
501;;– Ой чого ж ти потребуєш,
502;;А вдовин Іване?
503;;
504;;– Ой сідайте, хлопці-браття,
505;;Буду вам казати,
506;;– Котрий дівча вірно любить,
507;;Не ходіть до хати.
508;;
509;;Ой дайте ми, моя мамцю,
510;;Білую подушку,
511;;Ой винесіть мене, хлопці-браття,
512;;Під зелену грушку.
513;;
514;;Закличте ми, моя мамцю,
515;;Парасину душку.
516;;Прийшла тая Парасина, 
517;;У порозі стала.
518;;
519;;– Чому ж не йдеш, Парасино,
520;;Ближче, неласкава?
521;;Видей же ти, Парасино,
522;;Сина зчарувала?
523;;
524;;– Не я ж тото зчарувала
525;;Та й не моя мати,
526;;Зчарувала сусідочка
527;;А з третьої хати.
528;;
529;НАСТУПАЄ ЧОРНА ХМАРА;Наступає чорна хмара,
530;;Наступає синя,
531;;Й зчарувала доч багата
532;;Вдовиного сина.
533;;Й зчарувала доч багата
534;;Вдовиного сина.
535;;
536;;А як мала чарувати,
537;;Кликала до хати:
